Implementation Label ,Platform ,Model,Latency (s),Energy (J),Memory Peak (MB),Accuracy 
RPI4B-CPU-NoFS-RF,RBPI4-CPU,NoFS-RF,4.22375e-05,5.99,0.032840728759766,81.59
RPI4B-CPU-ES-RF,RBPI4-CPU,ES-RF,2.8e-05,10.64,0.01064395904541,77.28
RPI4B-CPU-NoFS-DNN1,RBPI4-CPU,NoFS-DNN1,2.90875e-05,47.5,0.066188812255859,76.5
RPI4B-CPU-ES-DNN1,RBPI4-CPU,ES-DNN1,1.31125e-05,10.03,0.065813064575195,70.34
RPI4B-CPU-AE-DNN1,RBPI4-CPU,AE-DNN1,0.0001233125,77.48,0.0841064453125,74.9
RPI4B-CPU-NoFS-DNN2,RBPI4-CPU,NoFS-DNN2,0.0016842,391.0,0.069229125976563,80.94
RPI4B-CPU-ES-DNN2,RBPI4-CPU,ES-DNN2,0.0024099125,698.0,0.014919281005859,75.02
RPI4B-CPU-AE-DNN2,RBPI4-CPU,AE-DNN2,0.001316275,1585.0,0.118701934814453,79.03
RPI4B-CPU-NoFS-CNN,RBPI4-CPU,NoFS-CNN,0.0308584375,1350.0,0.110443115234375,76.8
RPI4B-CPU-ES-CNN,RBPI4-CPU,ES-CNN,0.002724675,765.0,0.044775009155274,74.09
RPI4B-CPU-AE-CNN,RBPI4-CPU,AE-CNN,0.006657025,1953.0,0.101360321044922,74.45
Xavier-GPU-NoFS-RF,Xavier-GPU ,NoFS-RF,4.975e-06,197.0,1.5,81.59
Xavier-GPU-ES-RF,Xavier-GPU ,ES-RF,4.675e-06,91.0,1.3,77.28
Xavier-GPU-AE-RF,Xavier-GPU ,AE-RF,5.76e-06,357.0,1.3,75.26
Xavier-GPU-NoFS-DNN1,Xavier-GPU ,NoFS-DNN1,0.00020835,217.0,0.9,76.5
Xavier-GPU-ES-DNN1,Xavier-GPU ,ES-DNN1,0.00012065,191.0,0.8,70.34
Xavier-GPU-AE-DNN1,Xavier-GPU ,AE-DNN1,0.000425488,625.0,1.4,74.9
Xavier-GPU-NoFS-DNN2,Xavier-GPU ,NoFS-DNN2,0.000362488,408.0,0.9,80.94
Xavier-GPU-ES-DNN2,Xavier-GPU ,ES-DNN2,0.0002125,300.0,0.8,75.02
Xavier-GPU-AE-DNN2,Xavier-GPU ,NoFS-DNN2,0.000547163,1348.0,1.5,79.03
Xavier-GPU-NoFS-CNN,Xavier-GPU ,NoFS-CNN,0.001036875,1217.28,1.3,76.8
Xavier-GPU-ES-CNN,Xavier-GPU ,ES-CNN,0.000910225,850.17,1.2,74.09
Xavier-GPU-AE-CNN,Xavier-GPU ,AE-CNN,0.00115045,1326.0,1.8,74.45
Xavier-CPU-NoFS-RF,Xavier-CPU ,NoFS-RF,3.58e-05,62.0,0.090217590332031,81.59
Xavier-CPU-ES-RF,Xavier-CPU ,ES-RF,1.275e-06,43.37,0.018764495849609,77.28
Xavier-CPU-AE-RF,Xavier-CPU ,AE-RF,6.735e-05,108.68,0.068347930908203,75.26
Xavier-CPU-NoFS-DNN1,Xavier-CPU ,NoFS-DNN1,1.0475e-05,43.95,0.0689697265625,76.5
Xavier-CPU-ES-DNN1,Xavier-CPU ,ES-DNN1,4.275e-06,43.0,0.015262603759766,70.34
Xavier-CPU-AE-DNN1,Xavier-CPU ,AE-DNN1,2.35e-05,87.83,0.017654418945313,74.9
Xavier-CPU-NoFS-DNN2,Xavier-CPU ,NoFS-DNN2,0.000239175,236.0,0.068973541259766,80.94
Xavier-CPU-ES-DNN2,Xavier-CPU ,ES-DNN2,0.00018785,175.0,0.018795013427734,75.02
Xavier-CPU-AE-DNN2,Xavier-CPU ,AE-DNN2,0.000215913,243.0,0.021217346191406,79.03
Xavier-CPU-NoFS-CNN,Xavier-CPU ,NoFS-CNN,0.007055338,5662.8,0.075996398925781,76.8
Xavier-CPU-ES-CNN,Xavier-CPU ,ES-CNN,0.000905075,809.0,0.0201416015625,74.09
Xavier-CPU-AE-CNN,Xavier-CPU ,AE-CNN,0.004650488,895.0,0.022758483886719,74.45
PynqZ2-FPGA-ES-DNN1,Pynq-Z2-FPGA,ES-DNN1,5.66e-06,0.863,0.45503202710832874,65.73
